t,x,y,K
0.,-0.2583599,0.03435299,
0.004162906,-0.2577427,0.03432586,0.0005850401
0.008325812,-0.2571098,0.03429681,0.000703223
0.01248872,-0.256371,0.03430657,0.0008305299
0.01665162,-0.2556191,0.03427207,0.0009173056
0.02081453,-0.2548041,0.03429706,0.001066068
0.02497744,-0.2539301,0.03424978,0.001179577
0.02914034,-0.2530301,0.03419802,0.001133419
0.03330325,-0.2521936,0.0341148,0.001208757
0.03746615,-0.2512387,0.03403646,0.001387612
0.04162906,-0.2502726,0.0339611,0.001504719
0.04579197,-0.249245,0.03380703,0.001735646
0.04995487,-0.2481575,0.03354672,0.001719219
0.05411778,-0.2471651,0.03328238,0.001840985
0.05828069,-0.2459958,0.03304282,0.002218113
0.06244359,-0.2447896,0.03274059,0.002496049
0.0666065,-0.2434713,0.03248839,0.002601784
0.0707694,-0.2422132,0.03217006,0.002572678
0.07493231,-0.2409234,0.0318608,0.002769137
0.07909522,-0.2395672,0.03152978,0.003123639
0.08325812,-0.2381159,0.03116935,0.003444596
0.08742103,-0.236605,0.03086311,0.003655126
0.09158393,-0.2350414,0.03059467,0.003806508
0.09574684,-0.2334777,0.03022422,0.003894972
0.09990975,-0.2318764,0.02995648,0.004044007
0.1040727,-0.230244,0.02961891,0.004261864
0.1082356,-0.2285505,0.02936942,0.004462499
0.1123985,-0.2268173,0.02917028,0.004590562
0.1165614,-0.225067,0.02897986,0.00507203
0.1207243,-0.2231573,0.02874668,0.005648417
0.1248872,-0.2212058,0.02852356,0.005485358
0.1290501,-0.2193534,0.02828695,0.005659773
0.133213,-0.2173502,0.02799179,0.006167605
0.1373759,-0.2153264,0.02774818,0.006286222
0.1415388,-0.2132824,0.02746477,0.006579974
0.1457017,-0.2111813,0.02709301,0.006689737
0.1498646,-0.2091009,0.02681756,0.006669217
0.1540275,-0.2069985,0.0264984,0.007283508
0.1581904,-0.2047414,0.02611872,0.007570264
0.1623533,-0.2025552,0.02577859,0.007770252
0.1665162,-0.2002508,0.025324,0.008275691
0.1706791,-0.1979229,0.0249474,0.008307261
0.1748421,-0.1956034,0.02452709,0.008458903
0.179005,-0.1932452,0.02407617,0.008813796
0.1831679,-0.1908317,0.02362138,0.008871167
0.1873308,-0.1884409,0.02326308,0.009507991
0.1914937,-0.1858506,0.02282398,0.01008195
0.1956566,-0.1833079,0.02246546,0.009763292
0.1998195,-0.1808012,0.0220276,0.01005397
0.2039824,-0.1781793,0.02168694,0.01050788
0.2081453,-0.1755453,0.02132116,0.0107023
0.2123082,-0.1728717,0.02099918,0.0111164
0.2164711,-0.1701356,0.02062348,0.01140671
