t,x,y,K
0.,-0.01152974,0.05935673,
0.004155556,-0.01280253,0.05933772,0.00009285663
0.008322222,-0.01201874,0.0593985,0.000001272247
0.01248889,-0.01284157,0.05937997,0.0005439208
0.01664444,-0.01320644,0.0594157,0.0002782648
0.02081111,-0.01369094,0.05939928,0.001225806
0.02497778,-0.014992,0.05941691,0.001325362
0.02913333,-0.01554512,0.0593956,0.0005940471
0.0333,-0.01623327,0.05940277,0.0008577405
0.03746667,-0.01703874,0.05939739,0.0005860741
0.04162222,-0.01746589,0.05937284,0.0008342112
0.04578889,-0.01850943,0.05936568,0.001184469
0.04995556,-0.01922079,0.05940526,0.0007727975
0.05411111,-0.01992513,0.05938629,0.001018847
0.05827778,-0.02084633,0.05942708,0.0006987501
0.06244444,-0.02127318,0.05939829,0.0001657571
0.0666,-0.02150187,0.0594117,0.000361129
0.07076667,-0.02224098,0.05938713,0.001460004
0.07493333,-0.02345025,0.05944625,0.0009990657
0.07908889,-0.02385011,0.05943463,0.0003625788
0.08325556,-0.02442004,0.05945061,0.0004394575
0.08742222,-0.02491922,0.05943439,0.0006448651
0.09157778,-0.02571296,0.05948448,0.001043161
0.09574444,-0.02656419,0.05943709,0.000587878
0.09991111,-0.02694917,0.05945611,0.0002638623
0.1040667,-0.02739141,0.0594498,0.0006715931
0.1082333,-0.02826905,0.05945662,0.00057103
0.1124,-0.02860992,0.0594707,0.0005853852
0.1165556,-0.02950109,0.0594804,0.0007782245
0.1207222,-0.03003037,0.05943851,0.0002644827
0.1248889,-0.03032952,0.05944051,0.0003372142
0.1290444,-0.03096563,0.05944173,0.0005807878
0.1332111,-0.03155586,0.05949205,0.0007890327
0.1373667,-0.03239615,0.05946085,0.0006372387
0.1415333,-0.03284152,0.05950008,0.000360521
0.1457,-0.03336438,0.05947532,0.0003276461
0.1498667,-0.03376466,0.05949991,0.0003058871
0.1540222,-0.03425514,0.05947811,0.0003593264
0.1581889,-0.03473007,0.05950805,0.000323492
0.1623556,-0.03517231,0.05949112,0.0004686585
0.1665111,-0.03583262,0.05951649,0.0004036725
0.1706778,-0.0361956,0.05949029,0.0001765536
0.1748444,-0.03651014,0.05950332,0.0004748088
0.179,-0.03730535,0.05948039,0.000596836
0.1831667,-0.03775439,0.05949816,0.0003586671
0.1873333,-0.03827092,0.05945714,0.0003663637
0.1914889,-0.03872896,0.0594746,0.0003060142
0.1956556,-0.03916151,0.05948272,0.0004365669
0.1998111,-0.03979279,0.05950109,0.0006581548
0.2039778,-0.0404681,0.05947491,0.0003428687
0.2081444,-0.04073664,0.05947058,0.0002049417
0.2123,-0.04119722,0.05947632,0.00004035148
0.2164667,-0.04105943,0.0594924,0.00007765951
0.2206333,-0.04164633,0.05949314,0.0006480311
0.2247889,-0.0423556,0.05952278,0.0005170132
0.2289556,-0.04280439,0.05949886,0.0003219718
0.2331222,-0.04327067,0.0595145,0.0004189879
0.2372778,-0.04384675,0.05948061,0.0004026153
0.2414444,-0.04429259,0.05950707,0.000303017
0.2456111,-0.04473423,0.05950282,0.000538885
0.2497667,-0.04547473,0.05952749,0.0005048039
0.2539333,-0.0458785,0.05951307,0.0001919132
0.2581,-0.04618076,0.05950157,0.0001541265
0.2622556,-0.04651046,0.05949257,0.0001679401
0.2664222,-0.04684077,0.0595053,0.000193571
0.2705889,-0.0472195,0.05951971,0.0001338458
0.2747444,-0.04742996,0.05949809,0.0001200558
0.2789111,-0.04777582,0.05947578,0.0001259404
0.2830778,-0.04800228,0.05949583,0.0001340234
0.2872333,-0.04836539,0.05946788,0.0005103284
0.2914,-0.04915284,0.05949835,0.0008906651
0.2955667,-0.04988727,0.05948819,0.0004199288
0.2997222,-0.05019622,0.05947293,0.00002859046
0.3038889,-0.05015879,0.05950917,0.000039576
0.3080556,-0.04987542,0.05947774,0.00001299634
0.3122111,-0.04998269,0.05945718,0.00002443064
0.3163778,-0.05012682,0.05949086,0.00004071751
0.3205444,-0.05030717,0.05948204,0.00005952974
0.3247,-0.05051974,0.05948519,0.00008535728
0.3288667,-0.05077766,0.05948929,0.000124546
0.3330333,-0.05108831,0.05945943,0.0002463636
0.3371889,-0.05157707,0.05949279,0.0001829263
0.3413556,-0.05177671,0.05948411,0.00004669005
0.3455222,-0.05192481,0.0594701,0.00004573497
0.3496778,-0.05211981,0.05945375,0.0001105205
0.3538444,-0.05246015,0.05948018,0.000153337
0.3580111,-0.05275111,0.05947021,0.00002194413
0.3621667,-0.05269769,0.05945789,0.00007084977
