t,x,y,K
0.,-0.0426194,0.01098581,
0.004162913,-0.04199806,0.01096632,0.01187821
0.008325826,-0.04133573,0.01094164,0.01235784
0.01248874,-0.04069031,0.01092632,0.01189583
0.01665165,-0.04005232,0.01091615,0.01259374
0.02081456,-0.03936954,0.01085778,0.0137196
0.02497748,-0.03867504,0.01085682,0.01298728
0.02914039,-0.03802829,0.01086125,0.01359948
0.0333033,-0.03730205,0.01079579,0.01397221
0.03746622,-0.03664057,0.01076295,0.01380504
0.04162913,-0.03592,0.01074891,0.01415428
0.04579204,-0.03523975,0.0107032,0.01383801
0.04995495,-0.03454575,0.01091703,0.01594982
0.05411787,-0.03376215,0.01086458,0.01786529
0.05828078,-0.03297655,0.01077958,0.01748821
0.06244369,-0.03221262,0.01071825,0.01630642
0.06660661,-0.03147766,0.01066962,0.01614244
0.07076952,-0.03071927,0.0106091,0.01591645
0.07493243,-0.02999429,0.01073542,0.01684428
0.07909535,-0.02919248,0.01065535,0.01888146
0.08325826,-0.02838536,0.01055166,0.01821012
0.08742117,-0.02761266,0.01049221,0.01762126
0.09158408,-0.02682664,0.01065774,0.01951288
0.095747,-0.02596662,0.01051805,0.02054773
0.09990991,-0.02515228,0.0104509,0.01894103
0.1040728,-0.02435724,0.01033479,0.01888468
0.1082357,-0.02353282,0.01046563,0.02008935
0.1123986,-0.02268925,0.01035898,0.02076534
0.1165616,-0.02185668,0.01020688,0.02035291
0.1207245,-0.02100815,0.0103849,0.02208504
0.1248874,-0.0201083,0.01025534,0.02172212
0.1290503,-0.01928803,0.01016103,0.02154292
0.1332132,-0.01837948,0.01031238,0.02272967
0.1373761,-0.01751405,0.0101994,0.02117391
0.141539,-0.01667778,0.01011947,0.02073591
0.145702,-0.01581964,0.01029414,0.02279662
0.1498649,-0.01490078,0.01011492,0.02208967
0.1540278,-0.01408765,0.01004906,0.02085038
0.1581907,-0.01320283,0.01022828,0.02345999
0.1623536,-0.01228578,0.01010284,0.02369686
0.1665165,-0.01140495,0.01000449,0.02229177
0.1706794,-0.01052765,0.01017389,0.02130486
0.1748423,-0.009689294,0.01009195,0.02277376
0.1790053,-0.008751768,0.01020311,0.02564975
0.1831682,-0.007802501,0.01004216,0.02346875
0.1873311,-0.006959824,0.01000362,0.02316816
0.191494,-0.00601347,0.01013486,0.02312941
0.1956569,-0.005167704,0.01003055,0.02407118
0.1998198,-0.00418814,0.01008506,0.02655711
0.2039827,-0.003250088,0.00999307,0.02519246
0.2081456,-0.002318026,0.01004471,0.02484597
0.2123086,-0.001395333,0.009954118,0.02390782
0.2164715,-0.0005067208,0.009869056,0.02374034
0.2206344,0.0004180048,0.009937086,0.02365215
0.2247973,0.001302942,0.009831803,0.02417908
0.2289602,0.002249195,0.009866743,0.02517517
0.2331231,0.003170311,0.00981892,0.02514816
0.237286,0.004115078,0.009822325,0.02594581
0.2414489,0.005067413,0.009751188,0.02537592
0.2456119,0.005985859,0.009698961,0.02423553
0.2497748,0.006899028,0.009703633,0.02396371
0.2539377,0.007808144,0.009611953,0.02479074
0.2581006,0.008751462,0.009653906,0.02542531
0.2622635,0.009684652,0.0095874,0.02524995
0.2664264,0.01062412,0.009644112,0.02593396
0.2705893,0.01157964,0.009550617,0.02522321
0.2747523,0.01249328,0.009633836,0.02634246
0.2789152,0.01349178,0.009501481,0.02713815
0.2830781,0.0144308,0.009561844,0.02576723
0.287241,0.01538082,0.009474214,0.02634833
0.2914039,0.01634341,0.009524168,0.02644303
0.2955668,0.01729468,0.00947256,0.02618834
0.2997297,0.01824429,0.009404902,0.02411179
0.3038926,0.01912467,0.009473625,0.02364512
0.3080556,0.02005389,0.009430081,0.02454366
0.3122185,0.02096851,0.009478945,0.02498291
0.3163814,0.02191664,0.00942443,0.02599765
0.3205443,0.02286618,0.009479483,0.02609993
0.3247072,0.02381798,0.009439706,0.02579125
0.3288701,0.02475861,0.009450487,0.02555902
0.333033,0.02569869,0.009382245,0.02571704
0.3371959,0.02664485,0.009384474,0.02277322
0.3413589,0.02747713,0.009392956,0.02253012
0.3455218,0.02841114,0.009351702,0.02541049
0.3496847,0.02935266,0.009346005,0.02504581
0.3538476,0.03027567,0.009305635,0.02301427
0.3580105,0.03113695,0.009280953,0.02166974
0.3621734,0.03200731,0.009250003,0.02313236
0.3663363,0.03292931,0.009264965,0.02392687
0.3704992,0.03382772,0.009270713,0.02418643
0.3746622,0.03475851,0.009199321,0.02485165
0.3788251,0.03568326,0.00917805,0.02470816
0.382988,0.03660838,0.009176352,0.02381842
0.3871509,0.03749927,0.009140573,0.02162323
0.3913138,0.03833933,0.009092366,0.02237035
0.3954767,0.03925956,0.009149741,0.02356002
0.3996396,0.04012828,0.009343667,0.02092434
0.4038026,0.0409598,0.009273587,0.02205895
0.4079655,0.04187578,0.009386194,0.021692
0.4121284,0.04268163,0.009473751,0.0201174
0.4162913,0.04354733,0.00938637,0.02193524
0.4204542,0.04442452,0.009445947,0.02078069
0.4246171,0.04524152,0.00947729,0.02012016
0.42878,0.04609594,0.00947439,0.02131946
0.4329429,0.04695929,0.009428327,0.02136478
0.4371059,0.04781624,0.00947143,0.01959593
0.4412688,0.04860903,0.009424568,0.02095994
0.4454317,0.04951972,0.00943276,0.02125789
0.4495946,0.05032412,0.009480181,0.01820188
0.4537575,0.05110525,0.009551683,0.01748843
0.4579204,0.05187879,0.00955407,0.01908715
0.4620833,0.05272767,0.00965977,0.0196548
0.4662462,0.05351024,0.009815246,0.01801632
0.4704092,0.05427603,0.009973062,0.01748302
0.4745721,0.0550663,0.009795194,0.02013816
0.478735,0.05594645,0.009891265,0.01974282
0.4828979,0.05671551,0.009917043,0.0163158
0.4870608,0.05744308,0.01003316,0.01529821
0.4912237,0.05813857,0.01022364,0.01422744
0.4953866,0.05883046,0.0102475,0.01460723
0.4995495,0.05955518,0.01037197,0.01542124
0.5037125,0.06029105,0.0101946,0.01639319
0.5078754,0.06105879,0.01027245,0.01664074
0.5120383,0.06180961,0.01026662,0.0148066
0.5162012,0.06249077,0.01029311,0.01385907
0.5203641,0.06319306,0.01034285,0.01411956
0.524527,0.06388727,0.01039728,0.01299669
0.5286899,0.06453323,0.01043795,0.01096784
0.5328529,0.06511811,0.01046279,0.01132816
0.5370158,0.06577866,0.01057237,0.0131502
0.5411787,0.06646016,0.01062186,0.0124117
0.5453416,0.06708523,0.01068245,0.01067304
0.5495045,0.06767386,0.01069505,0.01143471
0.5536674,0.06834365,0.01066451,0.01211662
0.5578303,0.06896911,0.01072159,0.01071639
0.5619932,0.06956336,0.01069058,0.0109667
0.5661562,0.070201,0.01068226,0.01202615
0.5703191,0.07085386,0.01071219,0.01052221
0.574482,0.07140945,0.01071491,0.01045947
0.5786449,0.07205645,0.01066111,0.01206917
0.5828078,0.0727016,0.01066867,0.01047349
0.5869707,0.07326254,0.01066177,0.01038559
0.5911336,0.07390059,0.01063657,0.01028378
0.5952965,0.07445481,0.01060708,0.01027944
0.5994595,0.07509531,0.01061821,0.01243859
0.6036224,0.07576695,0.01057166,0.009605617
0.6077853,0.07621036,0.01091354,0.007535688
0.6119482,0.0767275,0.01092374,0.00725519
0.6161111,0.07721032,0.01098476,0.008755841
0.620274,0.07782797,0.01096643,0.008683226
0.6244369,0.07830802,0.01095231,0.007481692
0.6285998,0.07877667,0.01133566,0.006868569
0.6327628,0.07921865,0.01130185,0.006670297
0.6369257,0.07973913,0.01134509,0.008163603
0.6410886,0.08021137,0.01168307,0.005287056
0.6452515,0.08057153,0.01154376,0.004108636
0.6494144,0.08095476,0.01154889,0.006445232
0.6535773,0.08148616,0.01178091,0.004812665
0.6577402,0.08176913,0.01160765,0.005060513
0.6619032,0.08228451,0.011525,0.005380666
0.6660661,0.08261961,0.01175601,0.003789537
0.670229,0.08300743,0.01157305,0.003892224
0.6743919,0.08335478,0.01176615,0.003134506
0.6785548,0.08366609,0.01155441,0.003865762
0.6827177,0.08408576,0.01173213,0.003315608
0.6868806,0.08434424,0.01152961,0.002090016
0.6910435,0.08462352,0.01174996,0.002625905
0.6952065,0.08494645,0.0114967,0.002441481
0.6993694,0.08519406,0.01163343,0.001855799
