t,x,y,z,abs
19016645340,-1312309980,-54340001.2,-94189003.11,1316807461
19021613710,-1315783024,-39386000.48,-79576000.57,1318775403
19026582020,-1318933010,-48438999.8,-62627002.6,1321307218
19031550330,-1331320047,-55277999.49,-55319998.41,1333615022
19036518650,-1345602989,-40816999.97,-33739998.94,1346644652
19041486950,-1340217948,-33826000.99,-21829999.98,1340822470
19046455490,-1362898946,-41480999.44,-19619999.45,1363671205
19051423820,-1375303984,-32687000.93,-17540000.38,1375804179
19056392130,-1379995942,-31376000.49,-41893001.65,1380988152
19061360500,-1391381025,-30292000.62,-78302003.44,1393911750
19066328810,-1414221048,-29333999.38,-95651999.12,1417755607
19071297110,-1451038003,-14020999.89,-108282998.2,1455140228
19076265430,-1463570952,-20228000.36,-116186000.4,1468314779
19081233970,-1480692029,-9668000.042,-109756000.3,1484785754
19086202280,-1490417957,-18304999.92,-93324996.53,1493449134
19091170580,-1504657984,-10207000.19,-76940998.44,1506658471
19096138970,-1521070957,-11721000.08,-65383002.16,1522520665
19101107280,-1532320976,10559000.07,-70647999.64,1533985074
19106075580,-1555117011,6386999.972,-75984999.54,1556985367
19111043890,-1563125968,11687000.28,-71818999.95,1564818631
19116012200,-1573006034,9761000.052,-79715996.98,1575054888
19120980740,-1579967976,26943000.03,-102067999.5,1583490640
19125949050,-1595986009,27444999.67,-112544000.1,1600184589
19130917360,-1616269946,28046000.75,-111139997.8,1620329354
19135885650,-1643270016,35955999.05,-97846001.39,1646573114
19140853960,-1650650024,48764001.58,-82240998.74,1653416769
19145822340,-1664901972,33022001.39,-64292997.12,1666470107
19150790670,-1671664000,41308999.06,-53578000.52,1673032445
19155758970,-1687695026,56820999.83,-30938999.73,1688934679
19160727500,-1677139997,55688999.59,-15522000.38,1678136099
19165695820,-1702244043,64135998.49,-12109999.54,1703494896
19170664120,-1695873976,63078001.14,-18329000.1,1697145641
19175632450,-1693946004,71736998.86,-43756999.08,1696028872
19180600830,-1696460009,73343001.31,-30930999.67,1698326377
19185569140,-1698629975,84671996.53,-44495001.44,1701320941
19190537460,-1697960019,74694000.18,-53343001.75,1700439030
19195505770,-1694404006,79236000.78,-55087000.13,1697149922
19200474060,-1685619950,86272999.64,-52106000.48,1688630416
19205442600,-1690762043,88740997.02,-51587000.49,1693874986
19210410910,-1675798059,95991000.53,-56416999.55,1679492865
19215379210,-1662917018,91383002.7,-46911001.21,1666086584
19220347520,-1661676049,106074996.3,-37439998.24,1665479196
19225315910,-1662446976,97066998.48,-37588000.3,1665702497
19230284220,-1631971955,107247002.4,-49699999.39,1636247069
19235252530,-1632339001,96100002.53,-47472000.12,1635854338
19240220850,-1596531987,104359999.3,-40476001.8,1600451093
19245189390,-1574851990,110376000.4,-33493001.01,1579070433
19250157700,-1557662010,104515999.6,-21740999.07,1561315856
19255126010,-1530567050,101308003.1,6740999.874,1533930979
19260094390,-1512698054,107749998.6,18442999.57,1516642875
19265062700,-1485070944,114391997.5,25720000.27,1489692168
19270031010,-1466642022,109189003.7,37751998.75,1471185329
19274999320,-1435865045,108837999.4,56935001.16,1441109202
19279967840,-1421416044,113335996.9,61716001.48,1427262234
19284936150,-1394772053,125073000.8,61705000.7,1401727449
19289904460,-1372586012,115405999.1,71248002.35,1379270525
19294872760,-1326128006,112943999.5,49651999.03,1331854780
19299841070,-1315299034,117793001.2,42408999.06,1321243832
19304809450,-1265985966,117966003.7,59115000.07,1272843677
19309777760,-1250008941,113519996.4,47093998.64,1256036220
19314746070,-1209810972,111481003.5,47040998.94,1215846807
19319714380,-1166983008,111868999.9,61358001.08,1173937315
19324682920,-1138229012,109894998.4,56520998.48,1144917822
19329651230,-1089980960,105490997.4,51679000.26,1096292645
19334619540,-1058254957,110692001.9,56425001.47,1065523371
19339587830,-1026132941,108672000.5,63556000.59,1033826766
19344556210,-986582994.5,106701001.5,58727998.29,994072475.5
19349524520,-958702027.8,99876999.86,58699000.63,965676222.1
19354492820,-904137015.3,102715000.5,65852999.69,912332577.2
19359461130,-866079986.1,95954999.33,73023997.25,874433764.4
19364429660,-830057978.6,98788000.64,94568997.62,841248246.5
19369397970,-796275019.6,89557997.88,101782001.6,807733939.9
19374366280,-764733016.5,99495999.52,135365992.8,782968704.6
19379334660,-713878989.2,92670999.47,152223005.9,735787312.3
19384302980,-672388970.9,100101999.9,178690001.4,702892207.3
19389271290,-645098984.2,100284002.7,164495006.2,673251949.7
19394239590,-600887000.6,88436998.43,176673993.5,632534576.2
19399207920,-566031992.4,81260003.15,162554994.2,594490984.6
19404176450,-511910021.3,90825997.29,174817994.2,548509400.8
19409144760,-483848989,78718997.54,144020006.1,510928847.2
19414113070,-443643003.7,73821999.13,137202993,470205767.3
19419081370,-400766998.5,102416999.6,139996007.1,436694757.2
19424049760,-369782000.8,85542999.21,126082003.1,399941251.1
19429018070,-340961009.3,73436997.83,133756995.2,373548305.1
19433986380,-302433997.4,77959999.44,119939997.8,334558944.5
19438954690,-273351013.7,77774003.15,122928001,309646355.8
19443923240,-234505996.1,75119003.65,135545000.4,281084282.8
19448891550,-190741002.6,74839003.38,145821005.1,251489109.1
19453859850,-173225000.5,72145000.1,132213994.9,229548126.3
19458828160,-138761997.2,74171997.61,125843003.4,201476645.3
19463796540,-116282001.1,81023000.18,136292994,196626576.5
19468764850,-81639997.66,75893998.15,149191007,186233575.8
19473733160,-56536998.6,85121996.7,142998993.4,175758068.5
19478701690,-26551999.15,72852998.97,153624996.5,172084885.1
19483670000,5971000.064,82179002.46,171488001.9,190255554.7
19488638310,17038999.13,72313003.24,177443996.1,192369097.5
19493606620,40219001.47,81717997.79,181059002.9,202676495.3
19498574940,70624999.7,76770998.54,196713000.5,222660462.1
19503543250,89102000,81371001.9,198066994.5,231928740.5
19508511640,110013000.7,74081003.67,199484005.6,239551088.3
19513479950,133461996.9,76399996.88,200963005.4,253051760.9
19518448260,142535001,76362997.29,176172003.1,239131989.9
19523416780,158830002,83603002.13,177781999.1,252631887.7
19528385090,184786006.8,74134998.02,174665004,264857942.8
19533353410,205834999.7,74400000.27,147671997.5,264027320.5
19538321720,207818001.5,91637000.44,147071003.9,270583705.7
19543290100,226594001.1,82704998.55,158501997.6,288630977.8
19548258390,233382999.9,78628003.6,141268000,283913077.2
19553226700,254563987.3,91484002.77,143246993.4,306091240.5
19558195010,270933002.2,82920998.33,154868006.7,322900423
19563163320,277693986.9,81672996.28,154578998.7,328144930.7
19568131850,282092005,80505996.94,149565994.7,329282707.7
19573100160,308052986.9,98678000.27,144612997.8,354325993.4
19578068540,310092002.2,95339998.6,154091000.6,359152894.4
19583036770,304861992.6,94538003.21,149267002.9,352361897.4
19588005150,321244001.4,103505998.8,144501000.6,367139945.3
19592973460,349498987.2,115010999.1,151767000.6,398007907.5
19597941770,360942006.1,119529999.8,166274994.6,414986658.2
19602910060,357975989.6,107385002.1,168873995.5,410118000.3
19607878590,364540010.7,126507997.5,173926994.2,423254405.9
19612846900,366205990.3,124228999,171856001,423171545.2
19617815180,389364004.1,138852000.2,181814998.4,451598161.3
19622783560,378895014.5,132072001.7,191830992.7,444751138.8
19627751870,401977986.1,132510006.4,182760000.2,461027570.5
19632720170,417759001.3,152238994.8,183320999.1,480942702.8
19637688480,423840999.6,148162007.3,167178005,479105060.2
19642657020,429899007.1,151345998,148700997.2,479406668.7
19647625310,438277989.6,157055005.4,151828005.9,489699514.3
19652593620,453707009.6,158152997.5,138247996.6,499974929.1
19657561920,466607987.9,173684999.3,139088004.8,516947740.5
19662530230,474590003.5,163002997.6,132798001.2,519077024.9
19667498610,484831005.3,176376000,128952994.9,531787995.4
19672466910,492588013.4,180332005,137128993.9,542187185.3
19677435220,514563024,177155003,121417000.9,557585050.8
19682403530,531554997,178816005.6,129693001.5,575626748.2
19687372060,546009004.1,180519998.1,123658001.4,588221560
19692340370,557923018.9,189444005.5,112879999,599924178.9
19697308680,567349016.7,176908001.3,128490001,608022226.6
19702276960,595723986.6,190680995.6,101052001.1,633606989.6
19707245340,609531998.6,194900006.1,119148001.1,650931268.2
19712213650,627982974.1,184832006.7,113343998.8,664358599.3
19717181930,646282017.2,191534996,117163002.5,684173420.7
19722150240,671606004.2,203027993.4,116236001.3,711186191.5
19727118760,689548015.6,181014001.4,115350000.6,722182911.1
19732087080,707284987,194911003.1,126472994.7,744471470.5
19737055380,727263987.1,187153995,140036001.8,763904186.8
19742023770,751778006.6,188917994.5,148845002.1,789313001.6
19746992010,771300017.8,176256001,145721003.4,804490215.1
19751960390,788069009.8,172996997.8,212056994.4,834235514.9
19756928690,801783025.3,181389004,177844002.8,841062708.6
19761897000,862809002.4,179978996.5,146028995.5,893395926.4
19766865310,873210012.9,176163002.8,87889999.15,895127802.1
19771833850,912140011.8,174825996.2,36952998.49,929477839.5
19776802160,939055979.3,178568005.6,-9170000.441,955927169.7
19781770470,982788980,177760005,-12164999.73,998809684.5
19786738790,1012217045,162664994.6,13613999.82,1025294391
19791707170,1048943043,162126004.7,39436999.71,1062130701
19796675510,1064190984,137578994,96436001.36,1077371956
19801643820,1093615055,139199003.6,139100000.3,1111179131
19806612360,1108492017,145440995.7,153062999.2,1128421870
19811580670,1125373006,122634001.1,155068993.6,1142606622
19816548980,1153727055,116308003.7,118762001.4,1165640631
19821517290,1181489944,119457997.4,94402000.31,1191260022
19826485670,1213340998,117858998.5,46052999.79,1219921309
19831453980,1242256045,113911002.9,12039000.17,1247525846
19836422310,1275370002,107679002,-10049000.38,1279947027
19841390610,1322517037,101663000.9,-24976000.19,1326653866
19846358920,1350234032,93317002.06,788000.0048,1353455069
19851327460,1382514954,82588002.09,214999.9927,1384979574
19856295770,1429093957,76631002.13,40362000.47,1431716082
19861264080,1454064012,72944000.36,56589998.3,1456991903
19866232380,1471740961,54774999.62,65649002.79,1474222354
19871200760,1522920966,55587999.52,77134996.65,1525886006
19876169090,1521124959,46727001.67,55089998.99,1522839276
19881137400,1554877996,47446001.32,33020999.28,1555952150
19886105710,1583426952,33858999.61,20493999.12,1583921510
19891074260,1599446058,32366000.12,723999.9832,1599773664
19896042570,1615003943,21568000.32,54000.00009,1615147956
19901010870,1641870975,18136000.26,-17456000.67,1642063923
19905979180,1663442969,5262999.795,-11083000.34,1663488216
19910947570,1689247012,-2677999.903,7999.99998,1689249135
19915915910,1724221945,-3346000.1,-915999.99,1724225435
19920884210,1742041945,-8848000.318,-16247000.55,1742140176
19925852520,1752490044,-31152000.65,-19620999.69,1752876717
19930820830,1786641002,-24697000.16,-39778001.61,1787254403
19935789370,1801910996,-30136000.37,-55792000.14,1803026391
19940757680,1809798002,-25831000.88,-93385003.51,1812389806
19945726070,1810330033,-28566999.36,-104668997.2,1813578369
19950694380,1824810982,-33505998.55,-94471998.51,1827561963
19955662680,1819874048,-33429000.53,-101079002,1822985467
19960630990,1833629966,-42716000.23,-93395002.19,1836503780
19965599520,1837324023,-54186001.42,-54662000.39,1838935459
19970567830,1847643018,-55941998.96,-42353000.49,1848974852
19975536130,1852632046,-50482001.16,-25334000.59,1853492849
