t,x,y,z,abs
0,-2.293648005,-0.3693310022,4.807808876,5.339686578
0.00496831,-2.386959076,-0.3726530075,4.834803104,5.404790926
0.00993661,-2.484061956,-0.3831219971,4.853057861,5.465301169
0.0149047,-2.580214024,-0.3865849972,4.85775423,5.514048289
0.019873,-2.677901983,-0.3974109888,4.834526062,5.540914795
0.02484124,-2.772331953,-0.4012430012,4.766590118,5.528761322
0.02980955,-2.887419939,-0.397969991,4.706602097,5.536034439
0.03477763,-2.951586962,-0.4114089906,4.633066177,5.508758949
0.03974593,-3.046205044,-0.4246999919,4.591457844,5.526411167
0.04471424,-3.132968903,-0.4161539972,4.557833195,5.546397184
0.04968247,-3.22627306,-0.4337629974,4.584853172,5.622976686
0.05465078,-3.314101934,-0.4368799925,4.574326038,5.665562149
0.05961908,-3.389331102,-0.4398620129,4.574140072,5.709973845
0.06458716,-3.480564117,-0.4595699906,4.562689781,5.757053864
0.06955547,-3.542308092,-0.4456390142,4.518417835,5.758701285
0.07452379,-3.612602949,-0.457911998,4.479522228,5.772928447
0.07949202,-3.696319103,-0.4604690075,4.426856041,5.785487104
0.08446033,-3.769334078,-0.4509769976,4.372300148,5.790359939
0.08942839,-3.841131926,-0.4534359872,4.320575237,5.7989024
0.0943967,-3.918898106,-0.4510779977,4.259681225,5.805697018
0.09936501,-3.976316929,-0.4512079954,4.201562881,5.802397403
0.10433322,-4.044516087,-0.4490590096,4.15576601,5.816369615
0.10930153,-4.106797218,-0.4447210133,4.055245876,5.788659542
0.11426983,-4.172681808,-0.4380739927,3.957421064,5.76752666
0.11923791,-4.2327528,-0.4529789984,3.869524002,5.752790822
0.12420621,-4.291810989,-0.4415009916,3.758023024,5.721652011
0.12917444,-4.347468853,-0.4369669855,3.658828974,5.698987194
0.13414275,-4.399744034,-0.4369339943,3.564749956,5.679445495
0.13911106,-4.470156193,-0.4413590133,3.530821085,5.713474573
0.14407914,-4.52747488,-0.4336709976,3.525830984,5.754787872
0.14904746,-4.578900814,-0.4378359914,3.547363997,5.808771328
0.1540157,-4.640994072,-0.4134359956,3.547385931,5.8560825
0.158984,-4.68994379,-0.4204590023,3.530711889,5.885429889
0.16395229,-4.742414951,-0.4229699969,3.468534946,5.890682292
0.1689206,-4.800771236,-0.4280410111,3.372786999,5.882713295
0.17388868,-4.855392933,-0.4140349925,3.267366886,5.867022403
0.17885696,-4.901628017,-0.4120430052,3.18105197,5.857885992
0.1838252,-4.946476936,-0.3955709934,3.118510962,5.860820856
0.1887935,-5.011658192,-0.395931989,3.106132984,5.909445159
0.19376182,-5.049293995,-0.3726089895,3.086414099,5.929600264
0.1987299,-5.112077236,-0.3617649972,3.056922913,5.967326476
0.20369821,-5.152217865,-0.3563340008,2.991339922,5.968285966
0.20866652,-5.200795174,-0.334856987,2.872843981,5.950935404
0.21363475,-5.243494987,-0.3259649873,2.739758015,5.925096357
0.21860306,-5.304263115,-0.3248179853,2.608823061,5.920022946
0.22357136,-5.337559223,-0.3144339919,2.489581108,5.898001466
0.22853944,-5.386474133,-0.3139789999,2.396367073,5.903834478
0.23350775,-5.429403782,-0.3018960059,2.331511021,5.916545467
0.23847598,-5.475830078,-0.304437995,2.25902009,5.931321042
0.24344428,-5.525680065,-0.2832899988,2.202756882,5.955294391
0.24841236,-5.569440842,-0.2840270102,2.122025013,5.966769041
0.25338067,-5.609405994,-0.2610650063,2.035887957,5.973142416
0.25834898,-5.652802944,-0.2599079907,1.944345951,5.983495171
0.26331721,-5.673340797,-0.2613329887,1.83783102,5.969314332
0.26828552,-5.733232021,-0.2462069988,1.745018959,5.997971196
0.27325383,-5.770269871,-0.2335319966,1.646775007,6.005199372
0.27822191,-5.803661823,-0.2209299952,1.571835995,6.016807211
0.28319021,-5.84776783,-0.2155520022,1.513000965,6.044172663
0.28815852,-5.897888184,-0.2103739977,1.496626973,6.088450915
0.29312675,-5.925381184,-0.2103819996,1.494011045,6.114447788
0.29809483,-5.963790894,-0.1939779967,1.502760053,6.153268811
0.30306314,-5.991553783,-0.1900449991,1.479738951,6.174500887
0.30803142,-6.032601833,-0.1937170029,1.451259017,6.207734199
0.31299966,-6.077407837,-0.1882580072,1.359877944,6.230537306
0.31796796,-6.111538887,-0.1950860023,1.27975595,6.247138658
0.32293627,-6.134937763,-0.1901720017,1.213235021,6.256641748
0.32790435,-6.173927784,-0.1807380021,1.136335969,6.280231679
0.33287265,-6.197378159,-0.1763990074,1.082553983,6.293690156
0.33784098,-6.231529236,-0.1604139954,1.027845979,6.31776516
0.34280921,-6.259596825,-0.1495839953,0.938650012,6.331349905
0.34777752,-6.286345005,-0.1439400017,0.8388689756,6.343701869
0.35274581,-6.316596031,-0.1266140044,0.7021849751,6.356766495
0.35771389,-6.331234932,-0.1262480021,0.5884770155,6.35977826
0.3626822,-6.366186142,-0.1307930052,0.49535501,6.386768306
0.3676505,-6.387996197,-0.1234610006,0.4420149922,6.404460577
0.37261873,-6.422989845,-0.1281429976,0.4260460138,6.438379795
0.37758681,-6.428155899,-0.1257400066,0.4139829874,6.442699801
0.38255534,-6.453824997,-0.1304610074,0.4058740139,6.46789076
0.38752342,-6.478415012,-0.1232250035,0.3466069996,6.488850583
0.39249165,-6.504322052,-0.1277820021,0.2912609875,6.512093869
0.39745996,-6.502858162,-0.1129420027,0.2302879989,6.507914622
0.40242826,-6.526701927,-0.1241369992,0.1636960059,6.529934488
0.40739634,-6.539836884,-0.1253550053,0.127305001,6.54227689
0.41236465,-6.551847935,-0.1119240001,0.07801099867,6.553268197
0.41733296,-6.567516804,-0.1078260019,0.06368400156,6.568710609
0.4223012,-6.572384834,-0.09888699651,0.02675700001,6.57318317
0.42726949,-6.568894863,-0.08994399756,-0.00160800002,6.569510806
0.43223779,-6.588129997,-0.09289500117,-0.04778200015,6.588958147
0.43720587,-6.591740131,-0.09347700328,-0.1046309993,6.593233164
